19.05薄雲	OH_OO渋谷源氏	1300	1330	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
19.05薄雲	OH_OO渋谷源氏	1330	1340	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
19.05薄雲	OH_OO渋谷源氏	1340	1350	I	。	。		補助記号-句点				記号
19.05薄雲	OH_OO渋谷源氏	1350	1370	B	寝殿	寝殿	シンデン	名詞-普通名詞-一般			シンデン	漢
19.05薄雲	OH_OO渋谷源氏	1370	1380	I	の	の	ノ	助詞-格助詞			ノ	和
19.05薄雲	OH_OO渋谷源氏	1380	1390	I	御	御	オオン	接頭辞			オオン	和
19.05薄雲	OH_OO渋谷源氏	1390	1430	I	しつらひ	設い	シツライ	名詞-普通名詞-一般			シツライ	和
19.05薄雲	OH_OO渋谷源氏	1430	1440	I	、	、		補助記号-読点				記号
19.05薄雲	OH_OO渋谷源氏	1440	1470	I	いとど	いとど	イトド	副詞			イトド	和
19.05薄雲	OH_OO渋谷源氏	1470	1490	I	輝く	輝く	カガヤク	動詞-一般	文語四段-カ行	連体形-一般	カカヤク	和
19.05薄雲	OH_OO渋谷源氏	1490	1520	I	ばかり	ばかり	バカリ	助詞-副助詞			バカリ	和
19.05薄雲	OH_OO渋谷源氏	1520	1530	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
19.05薄雲	OH_OO渋谷源氏	1530	1560	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
19.05薄雲	OH_OO渋谷源氏	1560	1570	I	て	て	テ	助詞-接続助詞			テ	和
19.05薄雲	OH_OO渋谷源氏	1570	1580	I	、	、		補助記号-読点				記号
19.05薄雲	OH_OO渋谷源氏	1580	1590	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
19.05薄雲	OH_OO渋谷源氏	1590	1600	I	は	は	ハ	助詞-係助詞			ワ	和
19.05薄雲	OH_OO渋谷源氏	1600	1620	I	むげ	無下	ムゲ	名詞-普通名詞-形状詞可能			ムゲ	漢
19.05薄雲	OH_OO渋谷源氏	1620	1630	I	の	の	ノ	助詞-格助詞			ノ	和
19.05薄雲	OH_OO渋谷源氏	1630	1640	I	親	親	オヤ	名詞-普通名詞-一般			オヤ	和
