15.04蓬生	OH_OO渋谷源氏	1230	1250	I	など	など	ナド	助詞-副助詞			ナド	和
15.04蓬生	OH_OO渋谷源氏	1250	1280	I	遣はし	遣わす	ツカワス	動詞-一般	文語四段-サ行	連用形-一般	ツカワシ	和
15.04蓬生	OH_OO渋谷源氏	1280	1290	I	て	て	テ	助詞-接続助詞			テ	和
15.04蓬生	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
15.04蓬生	OH_OO渋谷源氏	1300	1310	I	蓬	蓬	ヨモギ	名詞-普通名詞-一般			ヨモギ	和
15.04蓬生	OH_OO渋谷源氏	1310	1330	I	払は	払う	ハラウ	動詞-一般	文語四段-ハ行	未然形-一般	ハラワ	和
15.04蓬生	OH_OO渋谷源氏	1330	1340	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
15.04蓬生	OH_OO渋谷源氏	1340	1350	I	、	、		補助記号-読点				記号
15.04蓬生	OH_OO渋谷源氏	1350	1380	I	めぐり	巡り	メグリ	名詞-普通名詞-一般			メグリ	和
15.04蓬生	OH_OO渋谷源氏	1380	1390	I	の	の	ノ	助詞-格助詞			ノ	和
15.04蓬生	OH_OO渋谷源氏	1390	1430	I	見苦しき	見苦しい	ミグルシイ	形容詞-一般	文語形容詞-シク	連体形-一般	ミグルシキ	和
15.04蓬生	OH_OO渋谷源氏	1430	1440	I	に	に	ニ	助詞-接続助詞			ニ	和
15.04蓬生	OH_OO渋谷源氏	1440	1450	I	、	、		補助記号-読点				記号
15.04蓬生	OH_OO渋谷源氏	1450	1470	I	板垣	板垣	イタガキ	名詞-普通名詞-一般			イタガキ	和
15.04蓬生	OH_OO渋谷源氏	1470	1480	I	と	と	ト	助詞-格助詞			ト	和
15.04蓬生	OH_OO渋谷源氏	1480	1500	I	いふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
15.04蓬生	OH_OO渋谷源氏	1500	1520	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
15.04蓬生	OH_OO渋谷源氏	1520	1530	I	、	、		補助記号-読点				記号
15.04蓬生	OH_OO渋谷源氏	1530	1550	I	うち	打ち	ウチ	接頭辞			ウチ	和
15.04蓬生	OH_OO渋谷源氏	1550	1570	I	堅め	固める	カタメル	動詞-一般	文語下二段-マ行	連用形-一般	カタメ	和
15.04蓬生	OH_OO渋谷源氏	1570	1590	I	繕は	繕う	ツクロウ	動詞-一般	文語四段-ハ行	未然形-一般	ツクロワ	和
15.04蓬生	OH_OO渋谷源氏	1590	1600	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
15.04蓬生	OH_OO渋谷源氏	1600	1630	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
15.04蓬生	OH_OO渋谷源氏	1630	1640	I	。	。		補助記号-句点				記号
15.04蓬生	OH_OO渋谷源氏	1640	1660	B	かう	斯く	カク	副詞			コー	和
15.04蓬生	OH_OO渋谷源氏	1660	1680	I	尋ね	尋ねる	タズネル	動詞-一般	文語下二段-ナ行	連用形-一般	タズネ	和
15.04蓬生	OH_OO渋谷源氏	1680	1700	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
15.04蓬生	OH_OO渋谷源氏	1700	1730	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
15.04蓬生	OH_OO渋谷源氏	1730	1740	I	り	り	リ	助動詞	文語助動詞-リ	終止形-一般	リ	和
15.04蓬生	OH_OO渋谷源氏	1740	1750	I	と	と	ト	助詞-格助詞			ト	和
