19.02薄雲	OH_OO渋谷源氏	1280	1300	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
19.02薄雲	OH_OO渋谷源氏	1300	1310	I	は	は	ハ	助詞-係助詞			ワ	和
19.02薄雲	OH_OO渋谷源氏	1310	1320	I	、	、		補助記号-読点				記号
19.02薄雲	OH_OO渋谷源氏	1320	1330	I	何	何	ナニ	代名詞			ナニ	和
19.02薄雲	OH_OO渋谷源氏	1330	1340	I	と	と	ト	助詞-格助詞			ト	和
19.02薄雲	OH_OO渋谷源氏	1340	1350	I	も	も	モ	助詞-係助詞			モ	和
19.02薄雲	OH_OO渋谷源氏	1350	1370	I	なく	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連用形-一般	ナク	和
19.02薄雲	OH_OO渋谷源氏	1370	1400	I	心地よ	心地良い	ココチヨイ	形容詞-一般	文語形容詞-ク	語幹-一般	ココチヨ	和
19.02薄雲	OH_OO渋谷源氏	1400	1410	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
19.02薄雲	OH_OO渋谷源氏	1410	1420	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
19.02薄雲	OH_OO渋谷源氏	1420	1440	I	見え	見える	ミエル	動詞-一般	文語下二段-ヤ行	連用形-一般	ミエ	和
19.02薄雲	OH_OO渋谷源氏	1440	1470	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
19.02薄雲	OH_OO渋谷源氏	1470	1480	I	。	。		補助記号-句点				記号
19.02薄雲	OH_OO渋谷源氏	1480	1500	B	次々	次々	ツギツギ	名詞-普通名詞-一般			ツギツギ	和
19.02薄雲	OH_OO渋谷源氏	1500	1510	I	の	の	ノ	助詞-格助詞			ノ	和
19.02薄雲	OH_OO渋谷源氏	1510	1520	I	人	人	ヒト	名詞-普通名詞-一般			ヒト	和
19.02薄雲	OH_OO渋谷源氏	1520	1530	I	も	も	モ	助詞-係助詞			モ	和
19.02薄雲	OH_OO渋谷源氏	1530	1540	I	、	、		補助記号-読点				記号
19.02薄雲	OH_OO渋谷源氏	1540	1550	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
19.02薄雲	OH_OO渋谷源氏	1550	1560	I	の	の	ノ	助詞-格助詞			ノ	和
19.02薄雲	OH_OO渋谷源氏	1560	1580	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
19.02薄雲	OH_OO渋谷源氏	1580	1590	I	に	に	ニ	助詞-格助詞			ニ	和
19.02薄雲	OH_OO渋谷源氏	1590	1600	I	は	は	ハ	助詞-係助詞			ワ	和
19.02薄雲	OH_OO渋谷源氏	1600	1620	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
19.02薄雲	OH_OO渋谷源氏	1620	1640	I	こと	事	コト	名詞-普通名詞-一般			コト	和
19.02薄雲	OH_OO渋谷源氏	1640	1650	I	も	も	モ	助詞-係助詞			モ	和
19.02薄雲	OH_OO渋谷源氏	1650	1660	I	や	や	ヤ	助詞-係助詞			ヤ	和
19.02薄雲	OH_OO渋谷源氏	1660	1680	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
19.02薄雲	OH_OO渋谷源氏	1680	1690	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
19.02薄雲	OH_OO渋谷源氏	1690	1700	I	、	、		補助記号-読点				記号
19.02薄雲	OH_OO渋谷源氏	1700	1730	I	うはべ	上辺	ウワベ	名詞-普通名詞-一般			ウワベ	和
19.02薄雲	OH_OO渋谷源氏	1730	1740	I	は	は	ハ	助詞-係助詞			ワ	和
19.02薄雲	OH_OO渋谷源氏	1740	1770	I	誇りか	誇りか	ホコリカ	形状詞-一般			ホコリカ	和
19.02薄雲	OH_OO渋谷源氏	1770	1780	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
19.02薄雲	OH_OO渋谷源氏	1780	1810	I	見ゆる	見える	ミエル	動詞-一般	文語下二段-ヤ行	連体形-一般	ミユル	和
19.02薄雲	OH_OO渋谷源氏	1810	1820	I	、	、		補助記号-読点				記号
19.02薄雲	OH_OO渋谷源氏	1820	1860	I	ころほひ	頃おい	コロオイ	名詞-普通名詞-一般			コロオイ	和
19.02薄雲	OH_OO渋谷源氏	1860	1880	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
