22.01玉鬘	OH_OO渋谷源氏	1270	1280	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
22.01玉鬘	OH_OO渋谷源氏	1280	1290	I	ど	ど	ド	助詞-接続助詞			ド	和
22.01玉鬘	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
22.01玉鬘	OH_OO渋谷源氏	1300	1320	I	なほ	猶	ナオ	副詞			ナオ	和
22.01玉鬘	OH_OO渋谷源氏	1320	1330	I	，	，		補助記号-読点				記号
22.01玉鬘	OH_OO渋谷源氏	1330	1340	I	そ	其	ソ	代名詞			ソ	和
22.01玉鬘	OH_OO渋谷源氏	1340	1350	I	の	の	ノ	助詞-格助詞			ノ	和
22.01玉鬘	OH_OO渋谷源氏	1350	1370	I	形見	形見	カタミ	名詞-普通名詞-一般			カタミ	和
22.01玉鬘	OH_OO渋谷源氏	1370	1380	I	と	と	ト	助詞-格助詞			ト	和
22.01玉鬘	OH_OO渋谷源氏	1380	1390	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
22.01玉鬘	OH_OO渋谷源氏	1390	1420	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
22.01玉鬘	OH_OO渋谷源氏	1420	1430	I	て	て	テ	助詞-接続助詞			テ	和
22.01玉鬘	OH_OO渋谷源氏	1430	1440	I	、	、		補助記号-読点				記号
22.01玉鬘	OH_OO渋谷源氏	1440	1480	I	らうたき	ろうたい	ロウタイ	形容詞-一般	文語形容詞-ク	連体形-一般	ロータキ	和
22.01玉鬘	OH_OO渋谷源氏	1480	1500	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
22.01玉鬘	OH_OO渋谷源氏	1500	1510	I	に	に	ニ	助詞-格助詞			ニ	和
22.01玉鬘	OH_OO渋谷源氏	1510	1530	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
22.01玉鬘	OH_OO渋谷源氏	1530	1550	I	たれ	たり	タリ	助動詞	文語助動詞-タリ-完了	已然形-一般	タレ	和
22.01玉鬘	OH_OO渋谷源氏	1550	1560	I	ば	ば	バ	助詞-接続助詞			バ	和
22.01玉鬘	OH_OO渋谷源氏	1560	1570	I	、	、		補助記号-読点				記号
22.01玉鬘	OH_OO渋谷源氏	1570	1590	I	古人	古人	フルビト	名詞-普通名詞-一般			フルビト	和
22.01玉鬘	OH_OO渋谷源氏	1590	1600	I	の	の	ノ	助詞-格助詞			ノ	和
