22.03玉鬘	OH_OO渋谷源氏	1240	1250	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
22.03玉鬘	OH_OO渋谷源氏	1250	1260	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	1260	1270	I	中	中	ナカ	名詞-普通名詞-副詞可能			ナカ	和
22.03玉鬘	OH_OO渋谷源氏	1270	1280	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	1280	1300	I	思ひ	思う	オモウ	動詞-一般	文語四段-ハ行	連用形-一般	オモイ	和
22.03玉鬘	OH_OO渋谷源氏	1300	1320	I	つつ	つつ	ツツ	助詞-接続助詞			ツツ	和
22.03玉鬘	OH_OO渋谷源氏	1320	1330	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1330	1340	I	秋	秋	アキ	名詞-普通名詞-副詞可能			アキ	和
22.03玉鬘	OH_OO渋谷源氏	1340	1350	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	1350	1360	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	1360	1380	I	なり	成る	ナル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ナリ	和
22.03玉鬘	OH_OO渋谷源氏	1380	1400	I	ゆく	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
22.03玉鬘	OH_OO渋谷源氏	1400	1420	I	まま	侭	ママ	名詞-普通名詞-副詞可能			ママ	和
22.03玉鬘	OH_OO渋谷源氏	1420	1430	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	1430	1440	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1440	1450	I	来	来る	クル	動詞-非自立可能	文語カ行変格	連用形-一般	キ	和
22.03玉鬘	OH_OO渋谷源氏	1450	1460	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
22.03玉鬘	OH_OO渋谷源氏	1460	1470	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
22.03玉鬘	OH_OO渋谷源氏	1470	1490	I	行く	行く	イク	動詞-非自立可能	文語四段-カ行	連体形-一般	ユク	和
22.03玉鬘	OH_OO渋谷源氏	1490	1500	I	先	先	サキ	名詞-普通名詞-副詞可能			サキ	和
22.03玉鬘	OH_OO渋谷源氏	1500	1510	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1510	1540	I	悲しき	悲しい	カナシイ	形容詞-一般	文語形容詞-シク	連体形-一般	カナシキ	和
22.03玉鬘	OH_OO渋谷源氏	1540	1560	I	こと	事	コト	名詞-普通名詞-一般			コト	和
22.03玉鬘	OH_OO渋谷源氏	1560	1590	I	多かり	多い	オオイ	形容詞-一般	文語形容詞-ク	終止形-補助	オーカリ	和
22.03玉鬘	OH_OO渋谷源氏	1590	1600	I	。	。		補助記号-句点				記号
22.03玉鬘	OH_OO渋谷源氏	1600	1620	B	豊後	ブンゴ	ブンゴ	名詞-固有名詞-地名-一般			ブンゴノ	固
22.03玉鬘	OH_OO渋谷源氏	1620	1630	I	介	助	スケ	名詞-普通名詞-一般			スケ	和
22.03玉鬘	OH_OO渋谷源氏	1630	1640	I	と	と	ト	助詞-格助詞			ト	和
22.03玉鬘	OH_OO渋谷源氏	1640	1660	I	いふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
22.03玉鬘	OH_OO渋谷源氏	1660	1700	I	頼もし人	頼もし人	タノモシビト	名詞-普通名詞-一般			タノモシビト	和
22.03玉鬘	OH_OO渋谷源氏	1700	1710	I	も	も	モ	助詞-係助詞			モ	和
22.03玉鬘	OH_OO渋谷源氏	1710	1720	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1720	1740	I	ただ	唯	タダ	副詞			タダ	和
22.03玉鬘	OH_OO渋谷源氏	1740	1760	I	水鳥	水鳥	ミズトリ	名詞-普通名詞-一般			ミズトリ	和
22.03玉鬘	OH_OO渋谷源氏	1760	1770	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	1770	1780	I	陸	陸	クガ	名詞-普通名詞-一般			クガ	和
22.03玉鬘	OH_OO渋谷源氏	1780	1790	I	に	に	ニ	助詞-格助詞			ニ	和
22.03玉鬘	OH_OO渋谷源氏	1790	1810	I	惑へ	惑う	マドウ	動詞-一般	文語四段-ハ行	命令形	マドエ	和
22.03玉鬘	OH_OO渋谷源氏	1810	1820	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
22.03玉鬘	OH_OO渋谷源氏	1820	1840	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
22.03玉鬘	OH_OO渋谷源氏	1840	1850	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
22.03玉鬘	OH_OO渋谷源氏	1850	1860	I	て	て	テ	助詞-接続助詞			テ	和
22.03玉鬘	OH_OO渋谷源氏	1860	1870	I	、	、		補助記号-読点				記号
22.03玉鬘	OH_OO渋谷源氏	1870	1910	I	つれづれ	徒然	ツレヅレ	名詞-普通名詞-形状詞可能			ツレズレ	和
22.03玉鬘	OH_OO渋谷源氏	1910	1920	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
22.03玉鬘	OH_OO渋谷源氏	1920	1950	I	ならは	習う	ナラウ	動詞-一般	文語四段-ハ行	未然形-一般	ナラワ	和
22.03玉鬘	OH_OO渋谷源氏	1950	1960	I	ぬ	ず	ズ	助動詞	文語助動詞-ズ	連体形-一般	ヌ	和
22.03玉鬘	OH_OO渋谷源氏	1960	2000	I	ありさま	有り様	アリサマ	名詞-普通名詞-一般			アリサマ	和
22.03玉鬘	OH_OO渋谷源氏	2000	2010	I	の	の	ノ	助詞-格助詞			ノ	和
22.03玉鬘	OH_OO渋谷源氏	2010	2040	I	たづき	たずき	タズキ	名詞-普通名詞-一般			タズキ	和
22.03玉鬘	OH_OO渋谷源氏	2040	2060	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
22.03玉鬘	OH_OO渋谷源氏	2060	2070	I	を	を	ヲ	助詞-格助詞			オ	和
22.03玉鬘	OH_OO渋谷源氏	2070	2090	I	思ふ	思う	オモウ	動詞-一般	文語四段-ハ行	連体形-一般	オモウ	和
