31.05真木柱	OH_OO渋谷源氏	1300	1310	I	え	え	エ	副詞			エ	和
31.05真木柱	OH_OO渋谷源氏	1310	1330	I	しも	しも	シモ	助詞-副助詞			シモ	和
31.05真木柱	OH_OO渋谷源氏	1330	1350	I	かけ	掛ける	カケル	動詞-非自立可能	文語下二段-カ行	連用形-一般	カケ	和
31.05真木柱	OH_OO渋谷源氏	1350	1370	I	離れ	離れる	ハナレル	動詞-一般	文語下二段-ラ行	連用形-一般	ハナレ	和
31.05真木柱	OH_OO渋谷源氏	1370	1400	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
31.05真木柱	OH_OO渋谷源氏	1400	1410	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
31.05真木柱	OH_OO渋谷源氏	1410	1420	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	1420	1460	I	まめやか	まめやか	マメヤカ	形状詞-一般			マメヤカ	和
31.05真木柱	OH_OO渋谷源氏	1460	1480	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
31.05真木柱	OH_OO渋谷源氏	1480	1490	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
31.05真木柱	OH_OO渋谷源氏	1490	1500	I	の	の	ノ	助詞-格助詞			ノ	和
31.05真木柱	OH_OO渋谷源氏	1500	1520	I	頼み	頼み	タノミ	名詞-普通名詞-一般			タノミ	和
31.05真木柱	OH_OO渋谷源氏	1520	1530	I	は	は	ハ	助詞-係助詞			ワ	和
31.05真木柱	OH_OO渋谷源氏	1530	1540	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	1540	1560	I	同じ	同じい	オナジイ	形容詞-一般	文語形容詞-シク	語幹-一般	オナジ	和
31.05真木柱	OH_OO渋谷源氏	1560	1580	I	こと	事	コト	名詞-普通名詞-一般			コト	和
31.05真木柱	OH_OO渋谷源氏	1580	1590	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
31.05真木柱	OH_OO渋谷源氏	1590	1600	I	て	て	テ	助詞-接続助詞			テ	和
31.05真木柱	OH_OO渋谷源氏	1600	1620	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
31.05真木柱	OH_OO渋谷源氏	1620	1650	I	ものし	ものする	モノスル	動詞-非自立可能	文語サ行変格	連用形-一般	モノシ	和
31.05真木柱	OH_OO渋谷源氏	1650	1680	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
31.05真木柱	OH_OO渋谷源氏	1680	1700	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
31.05真木柱	OH_OO渋谷源氏	1700	1710	I	。	。		補助記号-句点				記号
31.05真木柱	OH_OO渋谷源氏	1710	1720	B	姫	姫	ヒメ	名詞-普通名詞-一般			ヒメ	和
31.05真木柱	OH_OO渋谷源氏	1720	1730	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
31.05真木柱	OH_OO渋谷源氏	1730	1740	I	を	を	ヲ	助詞-格助詞			オ	和
31.05真木柱	OH_OO渋谷源氏	1740	1750	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
31.05真木柱	OH_OO渋谷源氏	1750	1760	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	1760	1780	I	堪へ	耐える	タエル	動詞-一般	文語下二段-ハ行	連用形-一般	タエ	和
31.05真木柱	OH_OO渋谷源氏	1780	1810	I	がたく	難い	ガタイ	接尾辞-形容詞的	文語形容詞-ク	連用形-一般	ガタク	和
31.05真木柱	OH_OO渋谷源氏	1810	1830	I	恋ひ	恋いる	コイル	動詞-一般	文語上二段-ハ行	連用形-一般	コイ	和
31.05真木柱	OH_OO渋谷源氏	1830	1860	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
31.05真木柱	OH_OO渋谷源氏	1860	1890	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
31.05真木柱	OH_OO渋谷源氏	1890	1900	I	ど	ど	ド	助詞-接続助詞			ド	和
31.05真木柱	OH_OO渋谷源氏	1900	1910	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	1910	1930	I	絶え	絶える	タエル	動詞-一般	文語下二段-ヤ行	連用形-一般	タエ	和
31.05真木柱	OH_OO渋谷源氏	1930	1940	I	て	て	テ	助詞-接続助詞			テ	和
31.05真木柱	OH_OO渋谷源氏	1940	1960	I	見せ	見せる	ミセル	動詞-非自立可能	文語下二段-サ行	連用形-一般	ミセ	和
31.05真木柱	OH_OO渋谷源氏	1960	2010	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
31.05真木柱	OH_OO渋谷源氏	2010	2040	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
31.05真木柱	OH_OO渋谷源氏	2040	2050	I	ず	ず	ズ	助動詞	文語助動詞-ズ	終止形-一般	ズ	和
31.05真木柱	OH_OO渋谷源氏	2050	2060	I	。	。		補助記号-句点				記号
31.05真木柱	OH_OO渋谷源氏	2060	2080	B	若き	若い	ワカイ	形容詞-一般	文語形容詞-ク	連体形-一般	ワカキ	和
31.05真木柱	OH_OO渋谷源氏	2080	2090	I	御	御	ミ	接頭辞			ミ	和
31.05真木柱	OH_OO渋谷源氏	2090	2100	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
31.05真木柱	OH_OO渋谷源氏	2100	2110	I	の	の	ノ	助詞-格助詞			ノ	和
31.05真木柱	OH_OO渋谷源氏	2110	2130	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
31.05真木柱	OH_OO渋谷源氏	2130	2140	I	に	に	ニ	助詞-格助詞			ニ	和
31.05真木柱	OH_OO渋谷源氏	2140	2150	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2150	2160	I	こ	是	コ	代名詞			コ	和
31.05真木柱	OH_OO渋谷源氏	2160	2170	I	の	の	ノ	助詞-格助詞			ノ	和
31.05真木柱	OH_OO渋谷源氏	2170	2180	I	父	父	チチ	名詞-普通名詞-一般			チチ	和
31.05真木柱	OH_OO渋谷源氏	2180	2190	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
31.05真木柱	OH_OO渋谷源氏	2190	2200	I	を	を	ヲ	助詞-格助詞			オ	和
31.05真木柱	OH_OO渋谷源氏	2200	2210	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2210	2230	I	誰れ	誰	ダレ	代名詞			タレ	和
31.05真木柱	OH_OO渋谷源氏	2230	2240	I	も	も	モ	助詞-係助詞			モ	和
31.05真木柱	OH_OO渋谷源氏	2240	2260	I	誰れ	誰	ダレ	代名詞			タレ	和
31.05真木柱	OH_OO渋谷源氏	2260	2270	I	も	も	モ	助詞-係助詞			モ	和
31.05真木柱	OH_OO渋谷源氏	2270	2280	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2280	2320	I	許しなう	許し無い	ユルシナイ	形容詞-一般	文語形容詞-ク	連用形-ウ音便	ユルシノー	和
31.05真木柱	OH_OO渋谷源氏	2320	2340	I	恨み	恨みる	ウラミル	動詞-一般	文語上二段-マ行	連用形-一般	ウラミ	和
31.05真木柱	OH_OO渋谷源氏	2340	2370	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
31.05真木柱	OH_OO渋谷源氏	2370	2380	I	て	て	テ	助詞-接続助詞			テ	和
31.05真木柱	OH_OO渋谷源氏	2380	2390	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2390	2430	I	いよいよ	愈	イヨイヨ	副詞			イヨイヨ	和
31.05真木柱	OH_OO渋谷源氏	2430	2450	I	隔て	隔てる	ヘダテル	動詞-一般	文語下二段-タ行	連用形-一般	ヘダテ	和
31.05真木柱	OH_OO渋谷源氏	2450	2480	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
31.05真木柱	OH_OO渋谷源氏	2480	2500	I	こと	事	コト	名詞-普通名詞-一般			コト	和
31.05真木柱	OH_OO渋谷源氏	2500	2520	I	のみ	のみ	ノミ	助詞-副助詞			ノミ	和
31.05真木柱	OH_OO渋谷源氏	2520	2550	I	まされ	勝る	マサル	動詞-一般	文語四段-ラ行	已然形-一般	マサレ	和
31.05真木柱	OH_OO渋谷源氏	2550	2560	I	ば	ば	バ	助詞-接続助詞			バ	和
31.05真木柱	OH_OO渋谷源氏	2560	2570	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2570	2600	I	心細く	心細い	ココロボソイ	形容詞-一般	文語形容詞-ク	連用形-一般	ココロボソク	和
31.05真木柱	OH_OO渋谷源氏	2600	2630	I	悲しき	悲しい	カナシイ	形容詞-一般	文語形容詞-シク	連体形-一般	カナシキ	和
31.05真木柱	OH_OO渋谷源氏	2630	2640	I	に	に	ニ	助詞-接続助詞			ニ	和
31.05真木柱	OH_OO渋谷源氏	2640	2650	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2650	2660	I	男	男	オトコ	名詞-普通名詞-一般			オトコ	和
31.05真木柱	OH_OO渋谷源氏	2660	2670	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
31.05真木柱	OH_OO渋谷源氏	2670	2690	I	たち	達	タチ	接尾辞-名詞的-一般			タチ	和
31.05真木柱	OH_OO渋谷源氏	2690	2700	I	は	は	ハ	助詞-係助詞			ワ	和
31.05真木柱	OH_OO渋谷源氏	2700	2710	I	、	、		補助記号-読点				記号
31.05真木柱	OH_OO渋谷源氏	2710	2720	I	常	常	ツネ	名詞-普通名詞-一般			ツネ	和
