16.02関屋	OH_OO渋谷源氏	1200	1210	I	世	世	ヨ	名詞-普通名詞-一般			ヨ	和
16.02関屋	OH_OO渋谷源氏	1210	1220	I	の	の	ノ	助詞-格助詞			ノ	和
16.02関屋	OH_OO渋谷源氏	1220	1240	I	騷ぎ	騒ぎ	サワギ	名詞-普通名詞-一般			サワギ	和
16.02関屋	OH_OO渋谷源氏	1240	1260	I	あり	有る	アル	動詞-非自立可能	文語ラ行変格	連用形-一般	アリ	和
16.02関屋	OH_OO渋谷源氏	1260	1270	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	1270	1290	I	ころ	頃	コロ	名詞-普通名詞-副詞可能			コロ	和
16.02関屋	OH_OO渋谷源氏	1290	1300	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	1300	1320	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
16.02関屋	OH_OO渋谷源氏	1320	1330	I	の	の	ノ	助詞-格助詞			ノ	和
16.02関屋	OH_OO渋谷源氏	1330	1360	I	聞こえ	聞こえ	キコエ	名詞-普通名詞-一般			キコエ	和
16.02関屋	OH_OO渋谷源氏	1360	1370	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	1370	1390	I	憚り	憚る	ハバカル	動詞-一般	文語四段-ラ行	連用形-一般	ハバカリ	和
16.02関屋	OH_OO渋谷源氏	1390	1400	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	1400	1410	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	1410	1430	I	常陸	ヒタチ	ヒタチ	名詞-固有名詞-地名-一般			ヒタチ	固
16.02関屋	OH_OO渋谷源氏	1430	1440	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	1440	1460	I	下り	下る	クダル	動詞-一般	文語四段-ラ行	連用形-一般	クダリ	和
16.02関屋	OH_OO渋谷源氏	1460	1470	I	し	き	キ	助動詞	文語助動詞-キ	連体形-一般	シ	和
16.02関屋	OH_OO渋谷源氏	1470	1480	I	を	を	ヲ	助詞-格助詞			オ	和
16.02関屋	OH_OO渋谷源氏	1480	1490	I	ぞ	ぞ	ゾ	助詞-係助詞			ゾ	和
16.02関屋	OH_OO渋谷源氏	1490	1500	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	1500	1530	I	すこし	少し	スコシ	副詞			スコシ	和
16.02関屋	OH_OO渋谷源氏	1530	1540	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
16.02関屋	OH_OO渋谷源氏	1540	1560	I	置き	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-一般	オキ	和
16.02関屋	OH_OO渋谷源氏	1560	1570	I	て	て	テ	助詞-接続助詞			テ	和
16.02関屋	OH_OO渋谷源氏	1570	1600	I	年ごろ	年頃	トシゴロ	名詞-普通名詞-一般			トシゴロ	和
16.02関屋	OH_OO渋谷源氏	1600	1610	I	は	は	ハ	助詞-係助詞			ワ	和
16.02関屋	OH_OO渋谷源氏	1610	1630	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
16.02関屋	OH_OO渋谷源氏	1630	1650	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
16.02関屋	OH_OO渋谷源氏	1650	1660	I	ど	ど	ド	助詞-接続助詞			ド	和
16.02関屋	OH_OO渋谷源氏	1660	1670	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	1670	1680	I	色	色	イロ	名詞-普通名詞-一般			イロ	和
16.02関屋	OH_OO渋谷源氏	1680	1690	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	1690	1700	I	も	も	モ	助詞-係助詞			モ	和
16.02関屋	OH_OO渋谷源氏	1700	1730	I	出だし	出だす	イダス	動詞-非自立可能	文語四段-サ行	連用形-一般	イダシ	和
16.02関屋	OH_OO渋谷源氏	1730	1760	I	たまは	給う	タマウ	動詞-非自立可能	文語四段-ハ行	未然形-一般	タマワ	和
16.02関屋	OH_OO渋谷源氏	1760	1770	I	ず	ず	ズ	助動詞	文語助動詞-ズ	連用形-一般	ズ	和
16.02関屋	OH_OO渋谷源氏	1770	1780	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	1780	1790	I	昔	昔	ムカシ	名詞-普通名詞-副詞可能			ムカシ	和
16.02関屋	OH_OO渋谷源氏	1790	1800	I	の	の	ノ	助詞-格助詞			ノ	和
16.02関屋	OH_OO渋谷源氏	1800	1820	I	やう	様	ヨウ	名詞-普通名詞-形状詞可能			ヨー	漢
16.02関屋	OH_OO渋谷源氏	1820	1830	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
16.02関屋	OH_OO渋谷源氏	1830	1850	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
16.02関屋	OH_OO渋谷源氏	1850	1870	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
16.02関屋	OH_OO渋谷源氏	1870	1880	I	ね	ず	ズ	助動詞	文語助動詞-ズ	已然形-一般	ネ	和
16.02関屋	OH_OO渋谷源氏	1880	1890	I	ど	ど	ド	助詞-接続助詞			ド	和
16.02関屋	OH_OO渋谷源氏	1890	1900	I	、	、		補助記号-読点				記号
16.02関屋	OH_OO渋谷源氏	1900	1920	I	なほ	猶	ナオ	副詞			ナオ	和
16.02関屋	OH_OO渋谷源氏	1920	1950	I	親しき	親しい	シタシイ	形容詞-一般	文語形容詞-シク	連体形-一般	シタシキ	和
16.02関屋	OH_OO渋谷源氏	1950	1970	I	家人	家人	ケニン	名詞-普通名詞-一般			ケニン	漢
16.02関屋	OH_OO渋谷源氏	1970	1980	I	の	の	ノ	助詞-格助詞			ノ	和
16.02関屋	OH_OO渋谷源氏	1980	2000	I	うち	内	ウチ	名詞-普通名詞-副詞可能			ウチ	和
16.02関屋	OH_OO渋谷源氏	2000	2010	I	に	に	ニ	助詞-格助詞			ニ	和
16.02関屋	OH_OO渋谷源氏	2010	2020	I	は	は	ハ	助詞-係助詞			ワ	和
