04.01夕顔	OH_OO渋谷源氏	1130	1150	I	惟光	コレミツ	コレミツ	名詞-固有名詞-人名-名			コレミツ	固
04.01夕顔	OH_OO渋谷源氏	1150	1170	I	召さ	召す	メス	動詞-一般	文語四段-サ行	未然形-一般	メサ	和
04.01夕顔	OH_OO渋谷源氏	1170	1180	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
04.01夕顔	OH_OO渋谷源氏	1180	1190	I	て	て	テ	助詞-接続助詞			テ	和
04.01夕顔	OH_OO渋谷源氏	1190	1200	I	、	、		補助記号-読点				記号
04.01夕顔	OH_OO渋谷源氏	1200	1220	I	待た	待つ	マツ	動詞-一般	文語四段-タ行	未然形-一般	マタ	和
04.01夕顔	OH_OO渋谷源氏	1220	1230	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
04.01夕顔	OH_OO渋谷源氏	1230	1260	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
04.01夕顔	OH_OO渋谷源氏	1260	1280	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
04.01夕顔	OH_OO渋谷源氏	1280	1300	I	ほど	程	ホド	名詞-普通名詞-副詞可能			ホド	和
04.01夕顔	OH_OO渋谷源氏	1300	1310	I	、	、		補助記号-読点				記号
04.01夕顔	OH_OO渋谷源氏	1310	1350	I	むつかし	難しい	ムズカシイ	形容詞-一般	文語形容詞-シク	語幹-一般	ムツカシ	和
04.01夕顔	OH_OO渋谷源氏	1350	1360	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
04.01夕顔	OH_OO渋谷源氏	1360	1380	I	なる	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連体形-一般	ナル	和
04.01夕顔	OH_OO渋谷源氏	1380	1400	I	大路	大路	オオジ	名詞-普通名詞-一般			オージ	和
04.01夕顔	OH_OO渋谷源氏	1400	1410	I	の	の	ノ	助詞-格助詞			ノ	和
04.01夕顔	OH_OO渋谷源氏	1410	1430	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
04.01夕顔	OH_OO渋谷源氏	1430	1440	I	を	を	ヲ	助詞-格助詞			オ	和
04.01夕顔	OH_OO渋谷源氏	1440	1450	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
04.01夕顔	OH_OO渋谷源氏	1450	1480	I	わたし	渡す	ワタス	動詞-一般	文語四段-サ行	連用形-一般	ワタシ	和
04.01夕顔	OH_OO渋谷源氏	1480	1510	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
04.01夕顔	OH_OO渋谷源氏	1510	1520	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
04.01夕顔	OH_OO渋谷源氏	1520	1530	I	に	に	ニ	助詞-接続助詞			ニ	和
04.01夕顔	OH_OO渋谷源氏	1530	1540	I	、	、		補助記号-読点				記号
04.01夕顔	OH_OO渋谷源氏	1540	1550	I	こ	是	コ	代名詞			コ	和
04.01夕顔	OH_OO渋谷源氏	1550	1560	I	の	の	ノ	助詞-格助詞			ノ	和
04.01夕顔	OH_OO渋谷源氏	1560	1570	I	家	家	イエ	名詞-普通名詞-一般			イエ	和
04.01夕顔	OH_OO渋谷源氏	1570	1580	I	の	の	ノ	助詞-格助詞			ノ	和
04.01夕顔	OH_OO渋谷源氏	1580	1620	I	かたはら	傍ら	カタワラ	名詞-普通名詞-副詞可能			カタワラ	和
04.01夕顔	OH_OO渋谷源氏	1620	1630	I	に	に	ニ	助詞-格助詞			ニ	和
04.01夕顔	OH_OO渋谷源氏	1630	1640	I	、	、		補助記号-読点				記号
04.01夕顔	OH_OO渋谷源氏	1640	1660	I	桧垣	ヒガキ	ヒガキ	名詞-固有名詞-人名-姓			ヒガキ	固
04.01夕顔	OH_OO渋谷源氏	1660	1670	I	と	と	ト	助詞-格助詞			ト	和
04.01夕顔	OH_OO渋谷源氏	1670	1690	I	いふ	言う	イウ	動詞-一般	文語四段-ハ行	連体形-一般	イウ	和
04.01夕顔	OH_OO渋谷源氏	1690	1710	I	もの	物	モノ	名詞-普通名詞-サ変可能			モノ	和
04.01夕顔	OH_OO渋谷源氏	1710	1740	I	新しう	新しい	アタラシイ	形容詞-一般	文語形容詞-シク	連用形-ウ音便	アタラシュー	和
04.01夕顔	OH_OO渋谷源氏	1740	1750	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
04.01夕顔	OH_OO渋谷源氏	1750	1760	I	て	て	テ	助詞-接続助詞			テ	和
04.01夕顔	OH_OO渋谷源氏	1760	1770	I	、	、		補助記号-読点				記号
04.01夕顔	OH_OO渋谷源氏	1770	1780	I	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
04.01夕顔	OH_OO渋谷源氏	1780	1790	I	は	は	ハ	助詞-係助詞			ワ	和
04.01夕顔	OH_OO渋谷源氏	1790	1810	I	半蔀	半蔀	ハジトミ	名詞-普通名詞-一般			ハジトミ	混
