52.03蜻蛉	OH_OO渋谷源氏	1140	1150	I	ば	ば	バ	助詞-接続助詞			バ	和
52.03蜻蛉	OH_OO渋谷源氏	1150	1160	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	1160	1170	I	北	北	キタ	名詞-普通名詞-一般			キタ	和
52.03蜻蛉	OH_OO渋谷源氏	1170	1180	I	の	の	ノ	助詞-格助詞			ノ	和
52.03蜻蛉	OH_OO渋谷源氏	1180	1190	I	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
52.03蜻蛉	OH_OO渋谷源氏	1190	1200	I	に	に	ニ	助詞-格助詞			ニ	和
52.03蜻蛉	OH_OO渋谷源氏	1200	1210	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	1210	1230	I	ここ	此処	ココ	代名詞			ココ	和
52.03蜻蛉	OH_OO渋谷源氏	1230	1240	I	に	に	ニ	助詞-格助詞			ニ	和
52.03蜻蛉	OH_OO渋谷源氏	1240	1260	I	渡り	渡る	ワタル	動詞-非自立可能	文語四段-ラ行	連用形-一般	ワタリ	和
52.03蜻蛉	OH_OO渋谷源氏	1260	1290	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
52.03蜻蛉	OH_OO渋谷源氏	1290	1300	I	日	日	ヒ	名詞-普通名詞-副詞可能			ヒ	和
52.03蜻蛉	OH_OO渋谷源氏	1300	1320	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
52.03蜻蛉	OH_OO渋谷源氏	1320	1340	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
52.03蜻蛉	OH_OO渋谷源氏	1340	1350	I	ば	ば	バ	助詞-接続助詞			バ	和
52.03蜻蛉	OH_OO渋谷源氏	1350	1360	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	1360	1370	I	橘	橘	タチバナ	名詞-普通名詞-一般			タチバナ	和
52.03蜻蛉	OH_OO渋谷源氏	1370	1380	I	を	を	ヲ	助詞-格助詞			オ	和
52.03蜻蛉	OH_OO渋谷源氏	1380	1400	I	折ら	折る	オル	動詞-一般	文語四段-ラ行	未然形-一般	オラ	和
52.03蜻蛉	OH_OO渋谷源氏	1400	1410	I	せ	せる	セル	助動詞	文語下二段-サ行	連用形-一般	セ	和
52.03蜻蛉	OH_OO渋谷源氏	1410	1420	I	て	て	テ	助詞-接続助詞			テ	和
52.03蜻蛉	OH_OO渋谷源氏	1420	1450	I	聞こえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
52.03蜻蛉	OH_OO渋谷源氏	1450	1480	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
52.03蜻蛉	OH_OO渋谷源氏	1480	1490	I	。	。		補助記号-句点				記号
52.03蜻蛉	OH_OO渋谷源氏	1490	1500	B	「	「		補助記号-括弧開				記号
52.03蜻蛉	OH_OO渋谷源氏	1500	1530	I	忍び音	忍び音	シノビネ	名詞-普通名詞-一般			シノビネ	和
52.03蜻蛉	OH_OO渋谷源氏	1530	1540	I	や	や	ヤ	助詞-係助詞			ヤ	和
52.03蜻蛉	OH_OO渋谷源氏	1540	1550	I	君	君	キミ	代名詞			キミ	和
52.03蜻蛉	OH_OO渋谷源氏	1550	1560	I	も	も	モ	助詞-係助詞			モ	和
52.03蜻蛉	OH_OO渋谷源氏	1560	1580	I	泣く	泣く	ナク	動詞-一般	文語四段-カ行	終止形-一般	ナク	和
52.03蜻蛉	OH_OO渋谷源氏	1580	1600	I	らむ	らむ	ラム	助動詞	文語助動詞-ラム	連体形-一般	ラム	和
52.03蜻蛉	OH_OO渋谷源氏	1600	1620	I	かひ	甲斐	カイ	名詞-普通名詞-一般			カイ	和
52.03蜻蛉	OH_OO渋谷源氏	1620	1630	I	も	も	モ	助詞-係助詞			モ	和
52.03蜻蛉	OH_OO渋谷源氏	1630	1650	I	なき	無い	ナイ	形容詞-非自立可能	文語形容詞-ク	連体形-一般	ナキ	和
52.03蜻蛉	OH_OO渋谷源氏	1650	1670	I	死出	死出	シデ	名詞-普通名詞-一般			シデ	混
52.03蜻蛉	OH_OO渋谷源氏	1670	1680	I	の	の	ノ	助詞-格助詞			ノ	和
52.03蜻蛉	OH_OO渋谷源氏	1680	1700	I	田長	田長	タオサ	名詞-普通名詞-一般			タオサ	和
52.03蜻蛉	OH_OO渋谷源氏	1700	1710	I	に	に	ニ	助詞-格助詞			ニ	和
52.03蜻蛉	OH_OO渋谷源氏	1710	1720	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
52.03蜻蛉	OH_OO渋谷源氏	1720	1740	I	通は	通う	カヨウ	動詞-一般	文語四段-ハ行	未然形-一般	カヨワ	和
52.03蜻蛉	OH_OO渋谷源氏	1740	1750	I	ば	ば	バ	助詞-接続助詞			バ	和
52.03蜻蛉	OH_OO渋谷源氏	1750	1760	I	」	」		補助記号-括弧閉				記号
52.03蜻蛉	OH_OO渋谷源氏	1760	1770	B	宮	宮	ミヤ	名詞-普通名詞-一般			ミヤ	和
52.03蜻蛉	OH_OO渋谷源氏	1770	1780	I	は	は	ハ	助詞-係助詞			ワ	和
52.03蜻蛉	OH_OO渋谷源氏	1780	1790	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	1790	1800	I	女	女	オンナ	名詞-普通名詞-一般			オンナ	和
52.03蜻蛉	OH_OO渋谷源氏	1800	1810	I	君	君	ギミ	接尾辞-名詞的-一般			ギミ	和
52.03蜻蛉	OH_OO渋谷源氏	1810	1820	I	の	の	ノ	助詞-格助詞			ノ	和
52.03蜻蛉	OH_OO渋谷源氏	1820	1830	I	御	御	オオン	接頭辞			オオン	和
52.03蜻蛉	OH_OO渋谷源氏	1830	1850	I	さま	様	サマ	名詞-普通名詞-一般			サマ	和
52.03蜻蛉	OH_OO渋谷源氏	1850	1860	I	の	の	ノ	助詞-格助詞			ノ	和
52.03蜻蛉	OH_OO渋谷源氏	1860	1880	I	いと	いと	イト	副詞			イト	和
52.03蜻蛉	OH_OO渋谷源氏	1880	1900	I	よく	良く	ヨク	副詞			ヨク	和
52.03蜻蛉	OH_OO渋谷源氏	1900	1910	I	似	似る	ニル	動詞-一般	文語上一段-ナ行	連用形-一般	ニ	和
52.03蜻蛉	OH_OO渋谷源氏	1910	1930	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
52.03蜻蛉	OH_OO渋谷源氏	1930	1940	I	を	を	ヲ	助詞-格助詞			オ	和
52.03蜻蛉	OH_OO渋谷源氏	1940	1950	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	1950	1980	I	あはれ	哀れ	アワレ	名詞-普通名詞-形状詞可能			アワレ	和
52.03蜻蛉	OH_OO渋谷源氏	1980	1990	I	と	と	ト	助詞-格助詞			ト	和
52.03蜻蛉	OH_OO渋谷源氏	1990	2010	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
52.03蜻蛉	OH_OO渋谷源氏	2010	2020	I	て	て	テ	助詞-接続助詞			テ	和
52.03蜻蛉	OH_OO渋谷源氏	2020	2030	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	2030	2040	I	二	二	フタ	名詞-数詞			フタ	和
52.03蜻蛉	OH_OO渋谷源氏	2040	2050	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
52.03蜻蛉	OH_OO渋谷源氏	2050	2070	I	眺め	眺める	ナガメル	動詞-一般	文語下二段-マ行	連用形-一般	ナガメ	和
52.03蜻蛉	OH_OO渋谷源氏	2070	2100	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連体形-一般	タマウ	和
52.03蜻蛉	OH_OO渋谷源氏	2100	2110	I	折	折	オリ	名詞-普通名詞-副詞可能			オリ	和
52.03蜻蛉	OH_OO渋谷源氏	2110	2130	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-一般	ナリ	和
52.03蜻蛉	OH_OO渋谷源氏	2130	2150	I	けり	けり	ケリ	助動詞	文語助動詞-ケリ	終止形-一般	ケリ	和
52.03蜻蛉	OH_OO渋谷源氏	2150	2160	I	。	。		補助記号-句点				記号
52.03蜻蛉	OH_OO渋谷源氏	2160	2170	B	「	「		補助記号-括弧開				記号
52.03蜻蛉	OH_OO渋谷源氏	2170	2200	I	けしき	気色	ケシキ	名詞-普通名詞-一般			ケシキ	漢
52.03蜻蛉	OH_OO渋谷源氏	2200	2220	I	ある	有る	アル	動詞-非自立可能	文語ラ行変格	連体形-一般	アル	和
52.03蜻蛉	OH_OO渋谷源氏	2220	2230	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
52.03蜻蛉	OH_OO渋谷源氏	2230	2250	I	かな	哉	カナ	助詞-終助詞			カナ	和
52.03蜻蛉	OH_OO渋谷源氏	2250	2260	I	」	」		補助記号-括弧閉				記号
52.03蜻蛉	OH_OO渋谷源氏	2260	2270	I	と	と	ト	助詞-格助詞			ト	和
52.03蜻蛉	OH_OO渋谷源氏	2270	2280	I	見	見る	ミル	動詞-非自立可能	文語上一段-マ行	連用形-一般	ミ	和
52.03蜻蛉	OH_OO渋谷源氏	2280	2310	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
52.03蜻蛉	OH_OO渋谷源氏	2310	2320	I	て	て	テ	助詞-接続助詞			テ	和
52.03蜻蛉	OH_OO渋谷源氏	2320	2330	I	、	、		補助記号-読点				記号
52.03蜻蛉	OH_OO渋谷源氏	2330	2340	B	「	「		補助記号-括弧開				記号
52.03蜻蛉	OH_OO渋谷源氏	2340	2350	I	橘	橘	タチバナ	名詞-普通名詞-一般			タチバナ	和
52.03蜻蛉	OH_OO渋谷源氏	2350	2360	I	の	の	ノ	助詞-格助詞			ノ	和
52.03蜻蛉	OH_OO渋谷源氏	2360	2380	I	薫る	香る	カオル	動詞-一般	文語四段-ラ行	連体形-一般	カオル	和
52.03蜻蛉	OH_OO渋谷源氏	2380	2410	I	あたり	辺り	アタリ	名詞-普通名詞-副詞可能			アタリ	和
52.03蜻蛉	OH_OO渋谷源氏	2410	2420	I	は	は	ハ	助詞-係助詞			ワ	和
52.03蜻蛉	OH_OO渋谷源氏	2420	2470	I	ほととぎす	時鳥	ホトトギス	名詞-普通名詞-一般			ホトトギス	和
52.03蜻蛉	OH_OO渋谷源氏	2470	2480	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
52.03蜻蛉	OH_OO渋谷源氏	2480	2490	I	し	為る	スル	動詞-非自立可能	文語サ行変格	連用形-一般	シ	和
52.03蜻蛉	OH_OO渋谷源氏	2490	2500	I	て	て	テ	助詞-接続助詞			テ	和
52.03蜻蛉	OH_OO渋谷源氏	2500	2520	I	こそ	こそ	コソ	助詞-係助詞			コソ	和
52.03蜻蛉	OH_OO渋谷源氏	2520	2540	I	鳴く	鳴く	ナク	動詞-一般	文語四段-カ行	終止形-一般	ナク	和
52.03蜻蛉	OH_OO渋谷源氏	2540	2570	I	べかり	べし	ベシ	助動詞	文語助動詞-ベシ	連用形-補助	ベカリ	和
52.03蜻蛉	OH_OO渋谷源氏	2570	2590	I	けれ	けり	ケリ	助動詞	文語助動詞-ケリ	已然形-一般	ケレ	和
52.03蜻蛉	OH_OO渋谷源氏	2590	2640	B	わづらはし	煩わしい	ワズラワシイ	形容詞-一般	文語形容詞-シク	終止形-一般	ワズラワシ	和
52.03蜻蛉	OH_OO渋谷源氏	2640	2650	I	」	」		補助記号-括弧閉				記号
