47.04総角	OH_OO渋谷源氏	1120	1130	I	、	、		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	1130	1150	I	なほ	猶	ナオ	副詞			ナオ	和
47.04総角	OH_OO渋谷源氏	1150	1160	I	，	，		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	1160	1180	I	いと	いと	イト	副詞			イト	和
47.04総角	OH_OO渋谷源氏	1180	1210	I	悪しき	悪しい	アシイ	形容詞-一般	文語形容詞-シク	連体形-一般	アシキ	和
47.04総角	OH_OO渋谷源氏	1210	1230	I	こと	事	コト	名詞-普通名詞-一般			コト	和
47.04総角	OH_OO渋谷源氏	1230	1250	I	なり	なり	ナリ	助動詞	文語助動詞-ナリ-断定	終止形-一般	ナリ	和
47.04総角	OH_OO渋谷源氏	1250	1260	I	。	。		補助記号-句点				記号
47.04総角	OH_OO渋谷源氏	1260	1280	B	何事	何事	ナニゴト	名詞-普通名詞-一般			ナニゴト	和
47.04総角	OH_OO渋谷源氏	1280	1290	I	も	も	モ	助詞-係助詞			モ	和
47.04総角	OH_OO渋谷源氏	1290	1350	I	もの好ましく	物好ましい	モノコノマシイ	形容詞-一般	文語形容詞-シク	連用形-一般	モノコノマシク	和
47.04総角	OH_OO渋谷源氏	1350	1360	I	、	、		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	1360	1380	I	立て	立てる	タテル	動詞-一般	文語下二段-タ行	連用形-一般	タテ	和
47.04総角	OH_OO渋谷源氏	1380	1400	I	たる	たり	タリ	助動詞	文語助動詞-タリ-完了	連体形-一般	タル	和
47.04総角	OH_OO渋谷源氏	1400	1410	I	御	御	ミ	接頭辞			ミ	和
47.04総角	OH_OO渋谷源氏	1410	1420	I	心	心	ココロ	名詞-普通名詞-サ変可能			ココロ	和
47.04総角	OH_OO渋谷源氏	1420	1430	I	な	な	ナ	副詞			ナ	和
47.04総角	OH_OO渋谷源氏	1430	1460	I	つかひ	使う	ツカウ	動詞-一般	文語四段-ハ行	連用形-一般	ツカイ	和
47.04総角	OH_OO渋谷源氏	1460	1490	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
47.04総角	OH_OO渋谷源氏	1490	1500	I	そ	そ	ソ	助詞-終助詞			ソ	和
47.04総角	OH_OO渋谷源氏	1500	1510	I	。	。		補助記号-句点				記号
47.04総角	OH_OO渋谷源氏	1510	1520	B	上	上	ウエ	名詞-普通名詞-副詞可能			ウエ	和
47.04総角	OH_OO渋谷源氏	1520	1530	I	も	も	モ	助詞-係助詞			モ	和
47.04総角	OH_OO渋谷源氏	1530	1580	I	うしろめた	後ろめたい	ウシロメタイ	形容詞-一般	文語形容詞-ク	語幹-一般	ウシロメタ	和
47.04総角	OH_OO渋谷源氏	1580	1590	I	げ	気	ゲ	接尾辞-形状詞的			ゲ	和
47.04総角	OH_OO渋谷源氏	1590	1600	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
47.04総角	OH_OO渋谷源氏	1600	1620	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
47.04総角	OH_OO渋谷源氏	1620	1660	I	のたまふ	宣う	ノタマウ	動詞-一般	文語四段-ハ行	連体形-一般	ノタマウ	和
47.04総角	OH_OO渋谷源氏	1660	1670	I	」	」		補助記号-括弧閉				記号
47.04総角	OH_OO渋谷源氏	1670	1680	B	と	と	ト	助詞-格助詞			ト	和
47.04総角	OH_OO渋谷源氏	1680	1690	I	，	，		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	1690	1720	I	里住み	里住み	サトズミ	名詞-普通名詞-サ変可能			サトズミ	和
47.04総角	OH_OO渋谷源氏	1720	1740	I	がち	勝ち	ガチ	接尾辞-形状詞的			ガチ	和
47.04総角	OH_OO渋谷源氏	1740	1750	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
47.04総角	OH_OO渋谷源氏	1750	1800	I	おはします	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連体形-一般	オワシマス	和
47.04総角	OH_OO渋谷源氏	1800	1810	I	を	を	ヲ	助詞-格助詞			オ	和
47.04総角	OH_OO渋谷源氏	1810	1830	I	諌め	諫める	イサメル	動詞-一般	文語下二段-マ行	連用形-一般	イサメ	和
47.04総角	OH_OO渋谷源氏	1830	1860	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	連用形-一般	キコエ	和
47.04総角	OH_OO渋谷源氏	1860	1890	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	已然形-一般	タマエ	和
47.04総角	OH_OO渋谷源氏	1890	1900	I	ば	ば	バ	助詞-接続助詞			バ	和
47.04総角	OH_OO渋谷源氏	1900	1910	I	、	、		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	1910	1930	I	いと	いと	イト	副詞			イト	和
47.04総角	OH_OO渋谷源氏	1930	1950	I	苦し	苦しい	クルシイ	形容詞-一般	文語形容詞-シク	終止形-一般	クルシ	和
47.04総角	OH_OO渋谷源氏	1950	1960	I	と	と	ト	助詞-格助詞			ト	和
47.04総角	OH_OO渋谷源氏	1960	1980	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
47.04総角	OH_OO渋谷源氏	1980	1990	I	て	て	テ	助詞-接続助詞			テ	和
47.04総角	OH_OO渋谷源氏	1990	2000	I	、	、		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	2000	2010	I	御	御	オオン	接頭辞			オオン	和
47.04総角	OH_OO渋谷源氏	2010	2030	I	宿直	宿直	トノイ	名詞-普通名詞-一般			トノイ	和
47.04総角	OH_OO渋谷源氏	2030	2040	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
47.04総角	OH_OO渋谷源氏	2040	2050	I	に	に	ニ	助詞-格助詞			ニ	和
47.04総角	OH_OO渋谷源氏	2050	2070	I	出で	出でる	イデル	動詞-一般	文語下二段-ダ行	連用形-一般	イデ	和
47.04総角	OH_OO渋谷源氏	2070	2100	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
47.04総角	OH_OO渋谷源氏	2100	2110	I	て	て	テ	助詞-接続助詞			テ	和
47.04総角	OH_OO渋谷源氏	2110	2120	I	、	、		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	2120	2130	I	御	御	オオン	接頭辞			オオン	和
47.04総角	OH_OO渋谷源氏	2130	2140	I	文	文	フミ	名詞-普通名詞-一般			フミ	和
47.04総角	OH_OO渋谷源氏	2140	2160	I	書き	書く	カク	動詞-一般	文語四段-カ行	連用形-一般	カキ	和
47.04総角	OH_OO渋谷源氏	2160	2170	I	て	て	テ	助詞-接続助詞			テ	和
47.04総角	OH_OO渋谷源氏	2170	2220	I	たてまつれ	奉れる	タテマツレル	動詞-非自立可能	文語下二段-ラ行	連用形-一般	タテマツレ	和
47.04総角	OH_OO渋谷源氏	2220	2250	I	たまへ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	命令形	タマエ	和
47.04総角	OH_OO渋谷源氏	2250	2260	I	る	り	リ	助動詞	文語助動詞-リ	連体形-一般	ル	和
47.04総角	OH_OO渋谷源氏	2260	2280	I	名残	名残り	ナゴリ	名詞-普通名詞-一般			ナゴリ	和
47.04総角	OH_OO渋谷源氏	2280	2290	I	も	も	モ	助詞-係助詞			モ	和
47.04総角	OH_OO渋谷源氏	2290	2300	I	、	、		補助記号-読点				記号
47.04総角	OH_OO渋谷源氏	2300	2330	I	いたく	痛く	イタク	副詞			イタク	和
