34.01若菜上	OH_OO渋谷源氏	1300	1310	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	1310	1340	I	よろづ	万	ヨロズ	名詞-普通名詞-副詞可能			ヨロズ	和
34.01若菜上	OH_OO渋谷源氏	1340	1360	I	憚り	憚る	ハバカル	動詞-一般	文語四段-ラ行	連用形-一般	ハバカリ	和
34.01若菜上	OH_OO渋谷源氏	1360	1390	I	きこえ	聞こえる	キコエル	動詞-非自立可能	文語下二段-ヤ行	未然形-一般	キコエ	和
34.01若菜上	OH_OO渋谷源氏	1390	1410	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
34.01若菜上	OH_OO渋谷源氏	1410	1440	I	たまひ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	連用形-一般	タマイ	和
34.01若菜上	OH_OO渋谷源氏	1440	1450	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	1450	1460	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	1460	1470	I	今	今	イマ	名詞-普通名詞-副詞可能			イマ	和
34.01若菜上	OH_OO渋谷源氏	1470	1490	I	まで	まで	マデ	助詞-副助詞			マデ	和
34.01若菜上	OH_OO渋谷源氏	1490	1510	I	思し	思す	オボス	動詞-一般	文語四段-サ行	連用形-一般	オボシ	和
34.01若菜上	OH_OO渋谷源氏	1510	1560	I	とどこほり	滞る	トドコオル	動詞-一般	文語四段-ラ行	連用形-一般	トドコーリ	和
34.01若菜上	OH_OO渋谷源氏	1560	1580	I	つる	つ	ツ	助動詞	文語助動詞-ツ	連体形-一般	ツル	和
34.01若菜上	OH_OO渋谷源氏	1580	1590	I	を	を	ヲ	助詞-格助詞			オ	和
34.01若菜上	OH_OO渋谷源氏	1590	1600	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	1600	1620	I	なほ	猶	ナオ	副詞			ナオ	和
34.01若菜上	OH_OO渋谷源氏	1620	1630	I	そ	其	ソ	代名詞			ソ	和
34.01若菜上	OH_OO渋谷源氏	1630	1640	I	の	の	ノ	助詞-格助詞			ノ	和
34.01若菜上	OH_OO渋谷源氏	1640	1650	I	方	方	カタ	名詞-普通名詞-助数詞可能			カタ	和
34.01若菜上	OH_OO渋谷源氏	1650	1660	I	に	に	ニ	助詞-格助詞			ニ	和
34.01若菜上	OH_OO渋谷源氏	1660	1700	I	もよほす	催す	モヨオス	動詞-一般	文語四段-サ行	連体形-一般	モヨース	和
34.01若菜上	OH_OO渋谷源氏	1700	1710	I	に	なり	ナリ	助動詞	文語助動詞-ナリ-断定	連用形-ニ	ニ	和
34.01若菜上	OH_OO渋谷源氏	1710	1720	I	や	や	ヤ	助詞-係助詞			ヤ	和
34.01若菜上	OH_OO渋谷源氏	1720	1740	I	あら	有る	アル	動詞-非自立可能	文語ラ行変格	未然形-一般	アラ	和
34.01若菜上	OH_OO渋谷源氏	1740	1750	I	む	む	ム	助動詞	文語助動詞-ム	連体形-一般	ム	和
34.01若菜上	OH_OO渋谷源氏	1750	1760	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	1760	1780	I	世に	世に	ヨニ	副詞			ヨニ	和
34.01若菜上	OH_OO渋谷源氏	1780	1820	I	久しかる	久しい	ヒサシイ	形容詞-一般	文語形容詞-シク	連体形-補助	ヒサシカル	和
34.01若菜上	OH_OO渋谷源氏	1820	1850	I	まじき	まじ	マジ	助動詞	文語助動詞-マジ	連体形-一般	マジキ	和
34.01若菜上	OH_OO渋谷源氏	1850	1870	I	心地	心地	ココチ	名詞-普通名詞-一般			ココチ	和
34.01若菜上	OH_OO渋谷源氏	1870	1890	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
34.01若菜上	OH_OO渋谷源氏	1890	1910	I	する	為る	スル	動詞-非自立可能	文語サ行変格	連体形-一般	スル	和
34.01若菜上	OH_OO渋谷源氏	1910	1920	I	」	」		補助記号-括弧閉				記号
34.01若菜上	OH_OO渋谷源氏	1920	1940	B	など	など	ナド	助詞-副助詞			ナド	和
34.01若菜上	OH_OO渋谷源氏	1940	1990	I	のたまはせ	宣わせる	ノタマワセル	動詞-一般	文語下二段-サ行	連用形-一般	ノタマワセ	和
34.01若菜上	OH_OO渋谷源氏	1990	2000	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	2000	2010	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	2010	2030	I	さる	然る	サル	動詞-一般	文語ラ行変格	連体形-一般	サル	和
34.01若菜上	OH_OO渋谷源氏	2030	2050	I	べき	べし	ベシ	助動詞	文語助動詞-ベシ	連体形-一般	ベキ	和
34.01若菜上	OH_OO渋谷源氏	2050	2060	I	御	御	ミ	接頭辞			ミ	和
34.01若菜上	OH_OO渋谷源氏	2060	2100	I	心まうけ	心設け	ココロモウケ	名詞-普通名詞-一般			ココロモーケ	和
34.01若菜上	OH_OO渋谷源氏	2100	2120	I	ども	共	ドモ	接尾辞-名詞的-一般			ドモ	和
34.01若菜上	OH_OO渋谷源氏	2120	2130	I	せ	為る	スル	動詞-非自立可能	文語サ行変格	未然形-一般	セ	和
34.01若菜上	OH_OO渋谷源氏	2130	2150	I	させ	させる	サセル	助動詞	文語下二段-サ行	連用形-一般	サセ	和
34.01若菜上	OH_OO渋谷源氏	2150	2180	I	たまふ	給う	タマウ	動詞-非自立可能	文語四段-ハ行	終止形-一般	タマウ	和
34.01若菜上	OH_OO渋谷源氏	2180	2190	I	。	。		補助記号-句点				記号
34.01若菜上	OH_OO渋谷源氏	2190	2210	B	御子	御子	ミコ	名詞-普通名詞-一般			ミコ	和
34.01若菜上	OH_OO渋谷源氏	2210	2230	I	たち	達	タチ	接尾辞-名詞的-一般			タチ	和
34.01若菜上	OH_OO渋谷源氏	2230	2240	I	は	は	ハ	助詞-係助詞			ワ	和
34.01若菜上	OH_OO渋谷源氏	2240	2250	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	2250	2270	I	春宮	春宮	トウグウ	名詞-普通名詞-一般			トーグー	漢
34.01若菜上	OH_OO渋谷源氏	2270	2280	I	を	を	ヲ	助詞-格助詞			オ	和
34.01若菜上	OH_OO渋谷源氏	2280	2300	I	おき	置く	オク	動詞-非自立可能	文語四段-カ行	連用形-一般	オキ	和
34.01若菜上	OH_OO渋谷源氏	2300	2350	I	たてまつり	奉る	タテマツル	動詞-非自立可能	文語四段-ラ行	連用形-一般	タテマツリ	和
34.01若菜上	OH_OO渋谷源氏	2350	2360	I	て	て	テ	助詞-接続助詞			テ	和
34.01若菜上	OH_OO渋谷源氏	2360	2370	I	、	、		補助記号-読点				記号
34.01若菜上	OH_OO渋谷源氏	2370	2390	I	女宮	女宮	オンナミヤ	名詞-普通名詞-一般			オンナミヤ	和
34.01若菜上	OH_OO渋谷源氏	2390	2410	I	たち	達	タチ	接尾辞-名詞的-一般			タチ	和
34.01若菜上	OH_OO渋谷源氏	2410	2430	I	なむ	なむ	ナム	助詞-係助詞			ナン	和
34.01若菜上	OH_OO渋谷源氏	2430	2440	I	四	四	ヨン	名詞-数詞			ヨ	和
34.01若菜上	OH_OO渋谷源氏	2440	2450	I	所	所	トコロ	名詞-普通名詞-副詞可能			トコロ	和
34.01若菜上	OH_OO渋谷源氏	2450	2500	I	おはしまし	おわします	オワシマス	動詞-非自立可能	文語四段-サ行	連用形-一般	オワシマシ	和
34.01若菜上	OH_OO渋谷源氏	2500	2520	I	ける	けり	ケリ	助動詞	文語助動詞-ケリ	連体形-一般	ケル	和
34.01若菜上	OH_OO渋谷源氏	2520	2530	I	。	。		補助記号-句点				記号
34.01若菜上	OH_OO渋谷源氏	2530	2540	B	そ	其	ソ	代名詞			ソ	和
34.01若菜上	OH_OO渋谷源氏	2540	2550	I	の	の	ノ	助詞-格助詞			ノ	和
